Id de pago,fecha,CVU/CBU, Valor 
10000,11/4/2025,2129873779400220000000, $112.950 
10001,2/4/2025,4919495851948610000000, $125.434 
10002,15/4/2025,4561779673192690000000, $185.157 
10003,15/4/2025,3266747550821390000000, $84.326 
10004,11/4/2025,6097490679148810000000, $142.748 
10005,11/4/2025,3354991467350240000000, $184.281 
10006,3/4/2025,6871877630907340000000, $97.307 
10007,2/4/2025,9798767349218530000000, $120.926 
10008,12/4/2025,5117305773618830000000, $76.239 
10009,13/4/2025,6097490679148810000000, $105.576 
10010,2/4/2025,7953401268952790000000, $139.730 
10011,7/4/2025,5120658000397530000000, $115.897 
10012,5/4/2025,4609186475649680000000, $162.901 
10013,15/4/2025,9301914663635570000000, $95.757 
10014,11/4/2025,7138512868566790000000, $188.225 
10015,8/4/2025,8445671467790750000000, $62.847 
10016,4/4/2025,6871877630907340000000, $199.060 
10017,9/4/2025,4006646858395060000000, $122.979 
10018,14/4/2025,5930181715250340000000, $174.975 
10019,13/4/2025,4985434974457620000000, $171.635 
10020,8/4/2025,2476716673525860000000, $108.919 
10021,13/4/2025,5973855585697530000000, $108.315 
10022,4/4/2025,9873052363609460000000, $166.476 
10023,6/4/2025,4756975101210820000000, $139.624 
10024,15/4/2025,5468347189492110000000, $175.760 
10025,15/4/2025,5468347189492110000000, $164.264 
10026,2/4/2025,9064821306055800000000, $91.916 
10027,2/4/2025,8672747146995710000000, $124.206 
10028,6/4/2025,8671363847364540000000, $181.768 
10029,8/4/2025,8445671467790750000000, $141.736 
10030,11/4/2025,3253840470755770000000, $161.232 
10031,11/4/2025,4919495851948610000000, $151.477 
10032,14/4/2025,5117305773618830000000, $166.315 
10033,12/4/2025,7863471034839500000000, $107.948 
10034,2/4/2025,4203623168121110000000, $59.196 
10035,11/4/2025,2698999302843630000000, $98.079 
10036,13/4/2025,4058688834338790000000, $76.236 
10037,5/4/2025,4649132091620120000000, $62.874 
10038,14/4/2025,4058688834338790000000, $185.657 
10039,13/4/2025,6758376167184140000000, $166.997 
10040,3/4/2025,8944383491849780000000, $81.634 
10041,15/4/2025,9090011910089050000000, $55.564 
10042,13/4/2025,8552897590627620000000, $123.722 
10043,11/4/2025,2281135864391360000000, $187.309 
10044,10/4/2025,9798767349218530000000, $197.279 
10045,11/4/2025,4985434974457620000000, $95.601 
10046,12/4/2025,7152486951219100000000, $167.568 
10047,5/4/2025,8555737009968730000000, $191.689 
10048,10/4/2025,5103976690518920000000, $53.613 
10049,6/4/2025,3569167187044620000000, $59.739 
10050,5/4/2025,8552897590627620000000, $83.374 
10051,10/4/2025,8401655961961310000000, $124.280 
10052,5/4/2025,3253840470755770000000, $137.671 
